,location,total_sqft,bath,price,bhk
266, other,1756.0,3.0,100.0,3
267, other,1532.0,3.0,92.0,3
268, other,1650.0,3.0,110.0,3
269, other,1200.0,2.0,66.0,2
271, other,1525.0,2.0,122.0,3
275, other,2400.0,3.0,200.0,4
276, other,1000.0,2.0,130.0,2
278, other,3040.0,1.0,180.0,2
280, other,1390.0,3.0,120.0,3
282, other,1135.0,2.0,68.0,2
283, other,900.0,2.0,55.0,2
287, other,2500.0,3.0,250.0,3
291, other,1269.72,2.0,68.0,2
292, other,1168.0,3.0,70.0,3
294, other,2100.0,4.0,155.0,4
296, other,1515.0,3.0,93.93,3
301, other,2700.0,4.0,214.0,6
302, other,2000.0,3.0,210.0,3
303, other,2400.0,4.0,300.0,5
304, other,1760.0,3.0,176.0,3
305, other,595.0,1.0,42.0,1
310, other,1170.0,2.0,86.0,2
311, other,2200.0,4.0,235.0,4
319, other,1650.0,3.0,175.0,3
321, other,1670.0,3.0,91.86,3
325, other,1250.0,2.0,80.0,3
326, other,1650.0,4.0,160.0,3
327, other,800.0,2.0,50.0,2
328, other,1225.0,2.0,150.0,2
330, other,3675.0,4.0,367.0,4
331, other,1200.0,2.0,150.0,2
334, other,1350.0,2.0,80.0,2
336, other,1614.0,3.0,110.0,3
337, other,1188.0,2.0,73.0,2
338, other,1480.0,3.0,90.0,3
339, other,680.0,2.0,42.0,2
342, other,955.0,2.0,53.55,2
344, other,2479.13,3.0,215.0,3
345, other,1100.0,2.0,106.0,2
348, other,1925.0,3.0,120.0,3
349, other,650.0,1.0,26.0,1
351, other,2000.0,3.0,207.0,3
352, other,1050.0,2.0,110.0,2
354, other,2204.0,2.0,305.0,3
360, other,1685.0,2.0,110.0,3
362, other,1550.0,3.0,110.0,3
363, other,500.0,1.0,20.0,1
365, other,3155.0,4.0,370.0,3
366, other,1765.0,3.0,105.0,3
367, other,1265.0,2.0,70.0,2
368, other,1012.0,2.0,59.0,2
369, other,2045.0,4.0,154.0,3
371, other,2400.0,4.0,280.0,6
372, other,581.91,2.0,25.0,1
373, other,1158.0,2.0,85.0,3
374, other,925.0,2.0,51.0,2
375, other,1415.0,2.0,110.0,2
378, other,4750.0,5.0,600.0,4
379, other,1840.0,3.0,155.0,3
380, other,1350.0,2.0,185.0,2
381, other,824.0,2.0,60.0,2
382, other,1340.0,2.0,100.0,3
383, other,1620.0,2.0,110.0,3
384, other,1533.0,3.0,115.0,3
385, other,1560.0,3.0,85.0,3
387, other,750.0,1.0,25.0,1
388, other,1375.0,2.0,85.0,3
395, other,1500.0,3.0,88.0,3
397, other,1140.0,2.0,76.0,2
398, other,1198.0,2.0,84.0,2
399, other,4000.0,4.0,520.0,4
401, other,1370.0,2.0,75.0,2
405, other,1000.0,1.0,55.0,2
406, other,1200.0,2.0,125.0,2
410, other,1050.0,1.0,70.0,1
411, other,1200.0,2.0,80.0,3
419, other,400.0,1.0,14.0,1
421, other,1575.0,4.0,150.0,5
423, other,4800.0,5.0,629.0,4
424, other,1200.0,2.0,70.0,2
426, other,1100.0,2.0,60.0,2
428, other,1300.0,2.0,79.0,2
430, other,3500.0,4.0,350.0,4
432, other,1000.0,2.0,110.0,3
439, other,2400.0,3.0,260.0,3
440, other,1533.0,3.0,85.0,3
443, other,1452.55,2.0,110.0,2
444, other,2357.0,3.0,151.0,3
445, other,1170.0,2.0,105.0,2
446, other,1411.0,3.0,91.72,3
448, other,3095.0,3.0,375.0,3
450, other,1100.0,3.0,78.0,3
452, other,3600.0,4.0,365.0,4
455, other,1945.0,3.0,120.0,3
457, other,1650.0,3.0,165.0,3
458, other,1550.0,2.0,150.0,3
460, other,1150.0,2.0,75.0,3
461, other,1200.0,3.0,74.0,3
462, other,1229.0,3.0,86.03,3
463, other,1030.0,2.0,61.0,2
464, other,600.0,1.0,32.0,1
465, other,1165.0,2.0,135.0,2
468, other,3000.0,4.0,240.0,4
470, other,1315.0,2.0,90.0,2
471, other,1210.0,2.0,72.0,2
472, other,11338.0,9.0,1000.0,6
474, other,30000.0,4.0,2100.0,4
476, other,1170.0,2.0,68.0,2
477, other,1600.0,2.0,110.0,2
479, other,1370.0,2.0,75.0,3
481, other,1980.0,3.0,224.0,3
483, other,1700.0,3.0,97.0,3
484, other,1900.0,3.0,160.0,3
486, other,1100.0,2.0,75.0,2
487, other,1929.0,3.0,115.0,3
488, other,3161.0,4.0,214.0,4
490, other,3515.0,3.0,420.0,3
492, other,1100.0,2.0,70.0,2
496, other,700.0,1.0,41.0,1
501, other,3000.0,3.0,250.0,3
502, other,1100.0,2.0,61.0,2
503, other,1260.0,1.0,41.0,1
504, other,1500.0,1.0,37.5,1
505, other,600.0,1.0,17.0,1
507, other,1165.0,2.0,75.0,2
508, other,1272.0,4.0,75.0,3
510, other,1600.0,5.0,140.0,5
512, other,1000.0,2.0,65.0,3
514, other,2400.0,4.0,325.0,3
516, other,1463.0,1.0,142.0,2
518, other,2401.0,3.0,185.0,3
519, other,1875.0,2.0,235.0,3
521, other,890.0,1.0,75.0,1
524, other,2400.0,3.0,290.0,3
526, other,1690.0,3.0,100.0,3
529, other,1350.0,2.0,90.0,2
530, other,1460.0,3.0,88.0,3
531, other,1685.0,3.0,95.0,3
532, other,800.0,1.0,52.0,1
533, other,4000.0,5.0,280.0,4
535, other,792.0,2.0,70.0,2
538, other,2400.0,5.0,235.0,5
541, other,461.82,1.0,31.7,1
542, other,1500.0,2.0,85.0,3
545, other,1260.0,2.0,75.0,2
547, other,12000.0,12.0,525.0,10
549, other,2820.0,3.0,285.0,3
550, other,1950.0,3.0,130.0,3
552, other,1350.0,2.0,140.0,3
553, other,4051.0,4.0,345.0,4
554, other,2100.0,3.0,170.0,3
555, other,1991.0,3.0,160.0,3
557, other,1200.0,3.0,66.0,3
559, other,3000.0,4.0,342.0,4
560, other,2400.0,6.0,245.0,6
562, other,1375.0,2.0,105.0,2
563, other,1693.0,3.0,108.0,3
570, other,1150.0,2.0,77.5,3
574, other,1058.0,2.0,60.0,2
575, other,900.0,1.0,30.0,1
576, other,1672.0,3.0,150.0,3
579, other,1250.0,3.0,139.0,3
580, other,1468.0,3.0,130.0,2
584, other,1480.0,2.0,145.0,3
587, other,2280.0,3.0,285.0,3
588, other,2000.0,3.0,200.0,3
591, other,1080.0,2.0,75.0,3
592, other,2400.0,2.0,150.0,3
594, other,1125.0,2.0,75.0,2
595, other,1596.0,3.0,95.0,3
596, other,1639.0,3.0,123.0,3
598, other,1740.0,3.0,199.0,3
599, other,1372.0,2.0,90.0,3
601, other,6200.0,5.0,720.0,5
604, other,925.0,2.0,63.0,2
605, other,1200.0,3.0,95.0,4
606, other,1200.0,2.0,79.0,2
607, other,2500.0,3.0,270.0,3
608, other,1584.0,3.0,145.0,4
609, other,1570.0,3.0,115.0,3
610, other,3000.0,3.0,400.0,3
614, other,1750.0,3.0,180.0,3
615, other,1500.0,1.0,160.0,2
616, other,2100.0,6.0,275.0,6
618, other,705.0,1.0,36.5,1
619, other,1340.0,3.0,77.0,3
623, other,1260.0,1.0,41.0,1
624, other,1200.0,2.0,125.0,2
625, other,1270.0,2.0,175.0,4
626, other,1200.0,3.0,130.0,3
627, other,3595.0,6.0,360.0,4
629, other,3100.0,5.0,385.0,4
631, other,1200.0,4.0,150.0,4
632, other,3259.0,3.0,270.0,3
635, other,596.0,1.0,42.0,1
636, other,10000.0,16.0,550.0,16
637, other,1200.0,4.0,110.0,4
638, other,1910.0,3.0,190.0,3
641, other,1750.0,3.0,149.0,3
643, other,985.0,2.0,63.0,2
644, other,1300.0,2.0,129.0,2
645, other,1490.0,2.0,88.0,3
649, other,650.0,1.0,30.0,1
650, other,1500.0,2.0,89.99,3
651, other,1350.0,4.0,145.0,4
652, other,910.0,1.0,42.0,1
655, other,532.0,1.0,22.49,1
656, other,1060.0,3.0,62.0,3
658, other,1550.0,2.0,160.0,2
662, other,1000.0,2.0,80.0,2
664, other,1500.0,2.0,97.0,3
665, other,1865.0,4.0,140.0,3
667, other,3500.0,4.0,245.0,4
671, other,1320.0,2.0,73.0,3
672, other,2150.0,6.0,205.0,6
675, other,675.0,3.0,52.0,2
676, other,1801.0,3.0,139.0,3
678, other,2990.0,4.0,324.0,4
679, other,2400.0,2.0,160.0,2
681, other,1150.0,2.0,75.0,2
682, other,1200.0,3.0,165.0,3
689, other,1390.0,2.0,80.0,3
690, other,1550.0,2.0,90.0,3
693, other,1500.0,4.0,110.0,4
695, other,1839.0,3.0,165.0,3
697, other,900.0,2.0,70.0,2
699, other,1500.0,3.0,149.0,3
702, other,750.0,2.0,50.0,1
703, other,600.0,3.0,75.0,2
704, other,1605.0,2.0,85.0,3
707, other,1500.0,1.0,19.5,1
709, other,1200.0,2.0,70.0,2
710, other,1200.0,2.0,160.0,2
711, other,1904.0,3.0,155.0,3
712, other,2770.0,4.0,315.0,3
713, other,813.0,1.0,39.0,1
716, other,1630.0,2.0,97.78,3
718, other,2425.0,4.0,173.0,4
722, other,1280.0,2.0,75.0,2
723, other,735.0,1.0,75.0,1
724, other,500.0,1.0,24.0,1
726, other,1200.0,4.0,145.0,3
727, other,1200.0,2.0,100.0,2
728, other,1200.0,3.0,160.0,3
729, other,1265.0,2.0,82.0,3
732, other,1850.0,3.0,98.0,3
733, other,2360.0,4.0,150.0,4
734, other,1030.0,2.0,77.25,2
736, other,2000.0,3.0,160.0,3
737, other,1575.0,3.0,93.0,3
738, other,1300.0,2.0,70.0,3
740, other,1380.0,2.0,75.0,2
745, other,3100.0,3.0,250.0,3
746, other,1190.0,2.0,100.0,2
747, other,1827.0,3.0,100.0,3
748, other,1500.0,3.0,95.0,3
749, other,1180.0,2.0,63.0,2
754, other,1645.0,3.0,95.0,3
755, other,1200.0,4.0,140.0,4
758, other,1097.0,2.0,65.0,2
759, other,1600.0,3.0,165.0,4
761, other,900.0,2.0,110.0,2
762, other,1200.0,2.0,125.0,2
763, other,1355.0,2.0,75.0,2
765, other,7500.0,4.0,900.0,4
768, other,4104.0,4.0,360.0,4
771, other,2080.0,2.0,150.0,2
772, other,1505.0,2.0,90.0,2
773, other,1200.0,3.0,95.75,3
774, other,1810.0,4.0,148.0,3
776, other,1530.0,2.0,97.0,3
781, other,1500.0,2.0,130.0,3
785, other,1400.0,2.0,80.0,2
786, other,1533.0,3.0,150.0,3
788, other,3730.0,6.0,450.0,4
789, other,745.0,2.0,50.0,2
791, other,1355.0,2.0,95.0,2
792, other,833.0,1.0,49.0,1
794, other,3000.0,5.0,270.0,4
795, other,1220.0,2.0,68.0,2
796, other,3811.0,3.0,475.0,4
797, other,1545.0,3.0,85.0,3
799, other,1350.0,2.0,110.0,2
801, other,1200.0,2.0,68.0,3
803, other,2000.0,4.0,180.0,5
807, other,1280.0,4.0,115.0,4
808, other,1200.0,3.0,85.0,3
810, other,1655.0,3.0,155.0,3
811, other,1150.0,2.0,74.0,2
813, other,1200.0,2.0,108.0,3
814, other,1200.0,2.0,75.0,2
819, other,1500.0,2.0,203.0,2
822, other,4500.0,9.0,500.0,9
825, other,1550.0,3.0,160.0,3
828, other,1758.0,3.0,95.0,3
829, other,3179.0,5.0,351.0,4
831, other,1200.0,3.0,85.0,2
833, other,1800.0,3.0,140.0,3
836, other,3900.0,4.0,333.0,4
837, other,2400.0,4.0,200.0,3
838, other,1645.0,3.0,87.5,3
840, other,2600.0,3.0,140.0,3
841, other,950.0,2.0,60.0,2
847, other,1900.0,3.0,205.0,3
849, other,1402.0,2.0,85.0,3
851, other,2100.0,3.0,240.0,3
855, other,1200.0,3.0,140.0,3
856, other,814.0,2.0,55.0,2
859, other,1590.0,3.0,120.0,3
860, other,3754.0,6.0,430.0,4
863, other,1450.0,2.0,89.6,3
865, other,1340.0,2.0,77.0,2
868, other,1665.0,3.0,105.0,3
870, other,2300.0,4.0,200.0,4
871, other,1210.0,2.0,76.0,2
876, other,1065.0,2.0,58.0,2
879, other,1636.0,3.0,97.0,3
880, other,3600.0,4.0,450.0,4
883, other,1200.0,3.0,72.0,3
887, other,1000.0,1.0,75.0,2
890, other,1170.0,2.0,86.0,2
891, other,4830.0,5.0,390.0,4
892, other,850.0,2.0,75.0,2
896, other,2065.0,3.0,130.0,3
897, other,1150.0,2.0,125.0,2
900, other,2550.0,4.0,290.0,3
901, other,3080.0,2.0,285.0,4
903, other,3400.0,6.0,420.0,4
904, other,450.0,1.0,25.0,1
905, other,1100.0,2.0,85.0,2
910, other,1036.0,2.0,110.0,2
913, other,1376.0,4.0,156.0,4
918, other,1080.0,2.0,62.0,2
922, other,1475.0,2.0,200.0,3
923, other,1200.0,3.0,96.25,3
925, other,2631.0,3.0,200.0,4
926, other,830.0,2.0,60.0,2
927, other,1500.0,2.0,88.0,2
930, other,856.0,2.0,48.0,2
931, other,1143.0,2.0,62.0,2
933, other,1117.0,2.0,110.0,2
934, other,600.0,1.0,43.0,1
938, other,1200.0,3.0,70.0,3
939, other,2675.0,4.0,290.0,4
943, other,1477.0,2.0,80.0,3
944, other,3500.0,5.0,450.0,4
945, other,1793.0,3.0,98.0,3
949, other,1020.0,2.0,62.0,2
950, other,3563.0,6.0,310.0,4
953, other,3300.0,5.0,318.0,4
954, other,1200.0,3.0,165.0,3
958, other,1718.0,3.0,223.0,3
959, other,1200.0,2.0,75.0,3
960, other,985.0,2.0,55.0,2
965, other,1030.0,2.0,80.0,2
967, other,1150.0,2.0,69.0,2
970, other,1500.0,2.0,90.0,3
971, other,900.0,2.0,55.0,2
976, other,1750.0,2.0,225.0,4
978, other,1100.0,2.0,78.0,2
979, other,1180.0,2.0,74.0,2
981, other,1540.0,3.0,85.0,3
983, other,1800.0,3.0,230.0,3
985, other,2000.0,3.0,120.0,3
986, other,2000.0,3.0,145.0,3
987, other,500.0,1.0,15.0,1
993, other,3160.0,4.0,206.0,4
994, other,922.0,2.0,70.0,2
995, other,850.0,2.0,72.0,2
996, other,1200.0,1.0,65.0,2
998, other,1233.0,2.0,100.0,2
1006, other,1936.0,3.0,110.0,3
1007, other,1652.5,3.0,90.0,3
1009, other,1500.0,3.0,138.0,3
1010, other,700.0,2.0,43.0,2
1011, other,1750.0,3.0,170.0,3
1012, other,1365.0,3.0,99.0,3
1015, other,708.0,1.0,55.0,2
1016, other,1680.0,3.0,135.0,3
1017, other,990.0,2.0,58.0,2
1018, other,1240.0,2.0,100.0,2
1019, other,1810.0,3.0,118.0,3
1020, other,2005.0,3.0,240.0,3
1023, other,1000.0,2.0,97.0,2
1026, other,1430.0,3.0,78.65,3
1028, other,1200.0,2.0,45.0,1
1033, other,840.0,1.0,75.0,1
1034, other,1760.0,2.0,116.0,3
1035, other,3317.5,5.0,268.5,4
1036, other,600.0,1.0,52.0,2
1037, other,1670.0,3.0,160.0,3
1040, other,1200.0,2.0,75.6,3
1041, other,2400.0,5.0,285.0,5
1042, other,2100.0,4.0,150.0,4
1046, other,1550.0,4.0,120.0,4
1047, other,905.0,2.0,50.0,2
1048, other,1495.0,3.0,200.0,3
1050, other,550.0,1.0,23.0,1
1053, other,1080.0,2.0,75.0,3
1055, other,1537.0,3.0,110.0,3
1056, other,1750.0,3.0,150.0,3
1057, other,2800.0,7.0,250.0,7
1059, other,1191.0,2.0,90.0,2
1062, other,2849.0,5.0,250.0,4
1067, other,827.0,2.0,45.0,2
1074, other,1205.0,2.0,70.0,2
1078, other,2200.0,4.0,160.0,3
1081, other,1900.0,3.0,155.0,3
1082, other,1200.0,1.0,95.0,2
1084, other,1100.0,2.0,61.0,2
1085, other,1100.0,2.0,110.0,2
1086, other,1942.0,3.0,155.0,3
1087, other,1200.0,4.0,80.0,3
1090, other,1515.0,3.0,90.0,3
1093, other,1200.0,4.0,95.0,4
1099, other,1200.0,1.0,69.0,1
1100, other,1717.0,3.0,99.0,3
1102, other,1200.0,1.0,48.0,1
1103, other,1430.0,2.0,78.65,3
1105, other,1190.0,2.0,70.0,2
1107, other,2690.0,4.0,185.0,4
1108, other,1594.0,3.0,99.0,3
1109, other,1250.0,2.0,68.0,2
1110, other,1290.0,1.0,77.5,2
1112, other,1464.0,2.0,145.0,2
1113, other,1200.0,2.0,75.0,2
1116, other,1485.0,2.0,156.0,3
1117, other,2070.0,3.0,135.0,3
1120, other,800.0,2.0,55.0,2
1122, other,1480.0,2.0,125.0,3
1124, other,1500.0,2.0,130.0,2
1125, other,2010.0,3.0,125.0,3
1126, other,1504.0,2.0,100.0,3
1128, other,1602.0,2.0,165.0,3
1129, other,1200.0,4.0,130.0,4
1130, other,1800.0,3.0,220.0,3
1136, other,1862.0,3.0,120.0,3
1137, other,2700.0,3.0,200.0,3
1138, other,1677.0,3.0,98.0,3
1140, other,1490.0,2.0,115.0,3
1142, other,1740.0,3.0,120.0,3
1143, other,1020.0,2.0,60.0,2
1144, other,550.0,1.0,16.0,1
1147, other,3664.0,3.0,325.0,3
1148, other,690.0,2.0,42.0,2
1149, other,1520.0,3.0,111.0,3
1151, other,1200.0,4.0,86.0,4
1152, other,1250.0,2.0,90.0,2
1153, other,1900.0,2.0,190.0,3
1156, other,1602.0,2.0,170.0,3
1157, other,1230.0,2.0,70.0,2
1158, other,1600.0,3.0,95.0,3
1159, other,450.0,1.0,60.0,1
1160, other,600.0,2.0,23.0,1
1161, other,3463.0,6.0,310.0,4
1162, other,1200.0,2.0,85.0,2
1165, other,2000.0,4.0,130.0,3
1166, other,1350.0,4.0,140.0,4
1169, other,1175.0,2.0,79.0,2
1171, other,1112.0,2.0,68.0,2
1174, other,1158.0,2.0,75.0,2
1177, other,1200.0,2.0,90.0,2
1178, other,1266.67,2.0,69.0,2
1180, other,2000.0,2.0,160.0,2
1184, other,2679.0,5.0,280.0,4
1185, other,1230.0,2.0,75.0,2
1187, other,3150.0,5.0,145.0,8
1188, other,2400.0,2.0,135.0,2
1189, other,880.0,2.0,48.0,2
1194, other,1022.0,2.0,57.0,2
1195, other,1200.0,2.0,76.0,2
1198, other,1605.0,3.0,100.0,3
1199, other,1542.0,3.0,98.0,3
1202, other,1333.0,2.0,77.27,2
1203, other,1100.0,3.0,110.0,3
1204, other,1050.0,2.0,70.0,2
1208, other,1200.0,4.0,165.0,4
1209, other,1100.0,2.0,145.0,3
1211, other,1200.0,3.0,99.0,3
1214, other,1000.0,2.0,60.0,2
1215, other,5720.0,3.0,350.0,3
1217, other,1012.0,2.0,59.0,2
1220, other,1200.0,4.0,140.0,4
1221, other,600.0,2.0,39.0,2
1224, other,1700.0,3.0,111.0,3
1228, other,1780.0,3.0,110.0,3
1230, other,1080.0,3.0,149.0,3
1231, other,900.0,2.0,65.0,3
1233, other,1200.0,3.0,160.0,4
1234, other,1540.0,3.0,85.0,3
1235, other,2456.0,3.0,220.0,3
1237, other,1530.0,2.0,185.0,2
1240, other,1717.0,3.0,120.0,3
1243, other,1475.0,2.0,171.0,2
1245, other,650.0,1.0,16.0,1
1247, other,1504.0,2.0,102.0,3
1249, other,1800.0,4.0,145.0,4
1250, other,3000.0,4.0,240.0,4
1252, other,1625.0,3.0,92.0,3
1253, other,2400.0,4.0,250.0,4
1256, other,1490.0,2.0,92.0,3
1258, other,1044.0,2.0,60.0,2
1262, other,1567.2,2.0,190.0,3
1267, other,1293.0,2.0,75.0,2
1269, other,860.0,2.0,65.5,2
1270, other,1374.0,2.0,88.0,3
1274, other,2000.0,2.0,160.0,4
1275, other,834.0,1.0,62.0,1
1276, other,600.0,1.0,52.0,1
1277, other,2000.0,4.0,135.0,4
1278, other,2750.0,3.0,260.0,3
1282, other,1280.0,2.0,90.0,2
1284, other,2075.0,3.0,175.0,3
1291, other,2274.24,4.0,160.0,3
1293, other,900.0,3.0,105.0,2
1296, other,1350.0,3.0,75.0,3
1298, other,470.0,2.0,10.0,1
1300, other,1313.0,4.0,150.0,3
1301, other,2515.0,4.0,155.0,3
1304, other,2665.0,3.0,350.0,3
1306, other,3500.0,5.0,450.0,4
1313, other,2400.0,5.0,300.0,6
1314, other,3000.0,4.0,130.0,8
1315, other,1235.0,2.0,140.0,2
1316, other,3200.0,3.0,260.0,3
1317, other,1450.0,3.0,90.0,3
1318, other,3754.0,6.0,480.0,4
1319, other,1893.0,3.0,115.0,3
1322, other,1200.0,2.0,100.0,3
1323, other,1205.0,2.0,70.0,2
1324, other,1500.0,3.0,90.0,3
1326, other,1250.0,2.0,67.0,2
1329, other,375.0,1.0,26.0,1
1330, other,800.0,3.0,59.5,2
1332, other,1400.0,2.0,85.0,2
1333, other,1800.0,2.0,100.0,3
1334, other,925.0,2.0,70.0,2
1337, other,3500.0,2.0,350.0,4
1340, other,2100.0,4.0,255.0,3
1341, other,400.0,1.0,35.0,1
1344, other,2400.0,5.0,180.0,4
1345, other,6000.0,1.0,276.0,1
1346, other,825.0,2.0,40.0,1
1348, other,5000.0,5.0,600.0,4
1350, other,4800.0,5.0,420.0,4
1351, other,3400.0,3.0,400.0,3
1352, other,600.0,1.0,33.0,1
1354, other,2600.0,3.0,147.0,3
1356, other,800.0,1.0,72.0,1
1358, other,1225.0,2.0,82.0,3
1359, other,655.0,1.0,27.0,1
1360, other,1196.0,2.0,96.0,2
1361, other,927.0,2.0,50.0,2
1362, other,600.0,1.0,18.0,1
1364, other,2800.0,4.0,200.0,4
1367, other,800.0,2.0,85.0,2
1368, other,985.0,2.0,57.0,2
1369, other,6000.0,12.0,150.0,11
1371, other,600.0,2.0,80.0,2
1372, other,1503.0,2.0,93.0,3
1377, other,1768.0,3.0,95.0,3
1378, other,3060.0,4.0,350.0,4
1379, other,800.0,1.0,32.0,1
1381, other,600.0,1.0,35.0,1
1382, other,1010.0,2.0,55.0,2
1385, other,3978.0,4.0,428.0,4
1388, other,2008.0,3.0,170.0,3
1389, other,2095.0,3.0,142.0,3
1391, other,1600.0,2.0,88.0,3
1392, other,1350.0,4.0,160.0,4
1393, other,500.0,1.0,20.0,1
1394, other,1280.0,2.0,100.0,3
1395, other,1650.0,3.0,110.0,3
1398, other,1044.0,2.0,85.0,2
1400, other,840.0,1.0,99.0,2
1403, other,3870.0,4.0,411.0,4
1405, other,1835.0,3.0,175.0,3
1408, other,425.0,1.0,15.0,1
1411, other,2380.0,4.0,242.0,4
1412, other,900.0,1.0,70.0,2
1413, other,1517.0,2.0,125.0,2
1415, other,3602.0,4.0,280.0,4
1416, other,2159.0,3.0,120.0,3
1417, other,1200.0,3.0,72.0,3
1418, other,1850.0,3.0,175.0,6
1419, other,510.0,1.0,34.0,1
1420, other,1166.0,2.0,65.0,2
1421, other,2700.0,2.0,260.0,3
1422, other,1350.0,2.0,175.0,3
1424, other,940.0,2.0,56.0,2
1427, other,1645.0,3.0,95.0,3
1429, other,1000.0,2.0,63.0,2
1431, other,1998.0,3.0,117.0,3
1434, other,1804.0,3.0,150.0,3
